date,lunar_date,day_of_week,month,is_holiday,weather_condition,temperature,voucher_active,number_of_guests
2024-02-02,23/12,Friday,2,0,Clouds,36.6,0,26
2024-02-03,24/12,Saturday,2,0,Clouds,33.5,1,41
2024-02-04,25/12,Sunday,2,0,Rain,28.0,0,16
2024-02-05,26/12,Monday,2,0,Drizzle,26.5,0,26
2024-02-06,27/12,Tuesday,2,0,Drizzle,28.1,0,20
2024-02-07,28/12,Wednesday,2,0,Rain,31.6,0,13
2024-02-08,29/12,Thursday,2,0,Drizzle,21.2,1,21
2024-02-09,30/12,Friday,2,0,Clear,32.4,1,23
2024-02-10,1/1,Saturday,2,0,Drizzle,33.2,1,36
2024-02-11,2/1,Sunday,2,0,Drizzle,30.2,1,40
2024-02-12,3/1,Monday,2,0,Drizzle,27.4,1,24
2024-02-13,4/1,Tuesday,2,0,Thunderstorm,26.1,1,21
2024-02-14,5/1,Wednesday,2,1,Clear,18.6,1,44
2024-02-15,6/1,Thursday,2,0,Drizzle,26.2,1,26
2024-02-16,7/1,Friday,2,0,Clouds,33.6,0,33
2024-02-17,8/1,Saturday,2,0,Clouds,35.3,1,32
2024-02-18,9/1,Sunday,2,0,Thunderstorm,24.1,1,31
2024-02-19,10/1,Monday,2,0,Clouds,29.0,0,27
2024-02-20,11/1,Tuesday,2,0,Clouds,24.1,1,26
2024-02-21,12/1,Wednesday,2,0,Rain,24.0,1,17
2024-02-22,13/1,Thursday,2,0,Rain,30.7,1,22
2024-02-23,14/1,Friday,2,0,Drizzle,27.3,1,22
2024-02-24,15/1,Saturday,2,1,Drizzle,26.4,0,31
2024-02-25,16/1,Sunday,2,0,Clouds,33.2,1,37
2024-02-26,17/1,Monday,2,0,Drizzle,17.7,0,21
2024-02-27,18/1,Tuesday,2,0,Clouds,25.4,1,31
2024-02-28,19/1,Wednesday,2,0,Clear,25.6,1,18
2024-02-29,20/1,Thursday,2,0,Drizzle,38.0,0,11
2024-03-01,21/1,Friday,3,0,Rain,19.3,0,13
2024-03-02,22/1,Saturday,3,0,Clouds,22.4,0,36
2024-03-03,23/1,Sunday,3,0,Clear,21.0,1,41
2024-03-04,24/1,Monday,3,0,Clouds,35.2,1,22
2024-03-05,25/1,Tuesday,3,0,Drizzle,22.8,1,15
2024-03-06,26/1,Wednesday,3,0,Clear,24.7,0,23
2024-03-07,27/1,Thursday,3,0,Clouds,34.8,1,30
2024-03-08,28/1,Friday,3,1,Clouds,30.7,0,28
2024-03-09,29/1,Saturday,3,0,Rain,29.7,0,22
2024-03-10,1/2,Sunday,3,0,Thunderstorm,37.9,1,25
2024-03-11,2/2,Monday,3,0,Rain,26.0,1,21
2024-03-12,3/2,Tuesday,3,0,Thunderstorm,26.1,1,17
2024-03-13,4/2,Wednesday,3,0,Rain,27.3,0,18
2024-03-14,5/2,Thursday,3,0,Drizzle,36.9,1,36
2024-03-15,6/2,Friday,3,0,Rain,16.9,1,21
2024-03-16,7/2,Saturday,3,0,Thunderstorm,33.5,1,35
2024-03-17,8/2,Sunday,3,0,Thunderstorm,19.5,1,25
2024-03-18,9/2,Monday,3,0,Thunderstorm,34.6,1,16
2024-03-19,10/2,Tuesday,3,0,Clear,31.6,1,21
2024-03-20,11/2,Wednesday,3,0,Drizzle,24.2,1,28
2024-03-21,12/2,Thursday,3,0,Clouds,21.4,0,19
2024-03-22,13/2,Friday,3,0,Thunderstorm,36.3,1,20
2024-03-23,14/2,Saturday,3,0,Rain,40.3,0,19
2024-03-24,15/2,Sunday,3,0,Rain,30.8,0,28
2024-03-25,16/2,Monday,3,0,Rain,32.2,1,15
2024-03-26,17/2,Tuesday,3,0,Clouds,32.9,0,22
2024-03-27,18/2,Wednesday,3,0,Rain,32.9,0,21
2024-03-28,19/2,Thursday,3,0,Rain,18.3,1,20
2024-03-29,20/2,Friday,3,0,Thunderstorm,33.9,1,27
2024-03-30,21/2,Saturday,3,0,Clear,20.3,1,41
2024-03-31,22/2,Sunday,3,0,Clouds,22.3,1,35
2024-04-01,23/2,Monday,4,0,Drizzle,29.5,0,21
2024-04-02,24/2,Tuesday,4,0,Rain,35.4,0,15
2024-04-03,25/2,Wednesday,4,0,Rain,23.0,1,29
2024-04-04,26/2,Thursday,4,0,Drizzle,24.7,1,32
2024-04-05,27/2,Friday,4,0,Drizzle,26.1,0,34
2024-04-06,28/2,Saturday,4,0,Thunderstorm,19.0,1,27
2024-04-07,29/2,Sunday,4,0,Drizzle,30.9,0,34
2024-04-08,30/2,Monday,4,0,Clouds,29.9,0,15
2024-04-09,1/3,Tuesday,4,0,Thunderstorm,19.4,0,18
2024-04-10,2/3,Wednesday,4,0,Clear,30.2,0,34
2024-04-11,3/3,Thursday,4,1,Clear,35.2,1,20
2024-04-12,4/3,Friday,4,0,Drizzle,22.0,0,22
2024-04-13,5/3,Saturday,4,0,Clouds,37.5,0,30
2024-04-14,6/3,Sunday,4,0,Thunderstorm,16.3,0,23
2024-04-15,7/3,Monday,4,0,Drizzle,33.4,0,19
2024-04-16,8/3,Tuesday,4,0,Rain,33.4,1,21
2024-04-17,9/3,Wednesday,4,0,Thunderstorm,29.7,0,6
2024-04-18,10/3,Thursday,4,1,Clear,26.7,0,24
2024-04-19,11/3,Friday,4,0,Rain,28.8,1,27
2024-04-20,12/3,Saturday,4,0,Clear,32.6,0,29
2024-04-21,13/3,Sunday,4,0,Drizzle,20.1,0,23
2024-04-22,14/3,Monday,4,0,Clear,25.0,0,17
2024-04-23,15/3,Tuesday,4,0,Drizzle,25.6,0,19
2024-04-24,16/3,Wednesday,4,0,Clear,25.1,1,21
2024-04-25,17/3,Thursday,4,0,Clouds,22.2,0,17
2024-04-26,18/3,Friday,4,0,Rain,32.5,0,11
2024-04-27,19/3,Saturday,4,0,Clouds,35.7,0,28
2024-04-28,20/3,Sunday,4,0,Clouds,40.7,0,29
2024-04-29,21/3,Monday,4,0,Clear,24.8,0,15
2024-04-30,22/3,Tuesday,4,1,Clouds,22.3,0,32
2024-05-01,23/3,Wednesday,5,1,Rain,20.1,0,23
2024-05-02,24/3,Thursday,5,0,Thunderstorm,27.6,0,12
2024-05-03,25/3,Friday,5,0,Thunderstorm,35.4,1,20
2024-05-04,26/3,Saturday,5,0,Clouds,22.2,1,34
2024-05-05,27/3,Sunday,5,0,Rain,22.9,1,28
2024-05-06,28/3,Monday,5,0,Drizzle,26.3,1,20
2024-05-07,29/3,Tuesday,5,1,Rain,31.3,0,29
2024-05-08,1/4,Wednesday,5,0,Clear,24.0,1,24
2024-05-09,2/4,Thursday,5,0,Rain,31.1,1,9
2024-05-10,3/4,Friday,5,0,Clear,26.6,1,26
2024-05-11,4/4,Saturday,5,0,Clear,30.4,1,31
2024-05-12,5/4,Sunday,5,0,Drizzle,32.5,1,26
2024-05-13,6/4,Monday,5,0,Rain,30.7,0,26
2024-05-14,7/4,Tuesday,5,0,Thunderstorm,34.3,0,8
2024-05-15,8/4,Wednesday,5,0,Rain,31.9,1,41
2024-05-16,9/4,Thursday,5,0,Rain,24.7,0,11
2024-05-17,10/4,Friday,5,0,Clouds,37.2,0,28
2024-05-18,11/4,Saturday,5,0,Clear,29.2,0,27
2024-05-19,12/4,Sunday,5,0,Clear,32.5,1,35
2024-05-20,13/4,Monday,5,0,Drizzle,20.9,0,2
